SymmetryRatio,AreaRatio,C,H / D,D / t,Nr
0,6.334,20,1.5,33.3,1943
0,6.334,30,1.5,33.3,3446.4
0,6.334,40,1.5,33.3,3421
0,6.334,20,2,33.3,1519.8
0,6.334,30,2,33.3,3278.4
0,6.334,40,2,33.3,2260.6
0,6.334,20,2.5,33.3,1294.6
0,6.334,30,2.5,33.3,2098.2
0,6.334,40,2.5,33.3,2983.4
0,6.334,20,3,33.3,1921.2
0,6.334,30,3,33.3,3410.2
0,6.334,40,3,33.3,1787.2
0,6.334,20,1.5,25,1878.8
0,6.334,30,1.5,25,3496.6
0,6.334,40,1.5,25,3921.2
0,6.334,20,2,25,2200.2
0,6.334,30,2,25,3930.4
0,6.334,40,2,25,3492.6
0,6.334,20,2.5,25,2898.8
0,6.334,30,2.5,25,2604.8
0,6.334,40,2.5,25,3165.6
0,6.334,20,3,25,2719
0,6.334,30,3,25,4097.6
0,6.334,40,3,25,2694.8
53.191,3.591,20,1.5,33.3,2121.8
53.191,3.591,30,1.5,33.3,2482.8
53.191,3.591,40,1.5,33.3,3317.4
53.191,3.591,20,2,33.3,1731.6
53.191,3.591,30,2,33.3,2534.2
53.191,3.591,40,2,33.3,2340
53.191,3.591,20,2.5,33.3,1270.6
53.191,3.591,30,2.5,33.3,1290.2
53.191,3.591,40,2.5,33.3,2833.2
53.191,3.591,20,3,33.3,1389
53.191,3.591,30,3,33.3,2461.8
53.191,3.591,40,3,33.3,1867.6
53.191,3.591,20,1.5,25,2223.4
53.191,3.591,30,1.5,25,2665.8
53.191,3.591,40,1.5,25,2285.2
53.191,3.591,20,2,25,2144.4
53.191,3.591,30,2,25,3412.4
53.191,3.591,40,2,25,2502.2
53.191,3.591,20,2.5,25,1602.4
53.191,3.591,30,2.5,25,1866.6
53.191,3.591,40,2.5,25,2688.2
53.191,3.591,20,3,25,1530.8
53.191,3.591,30,3,25,2679
53.191,3.591,40,3,25,2914.6
100,7.232,20,1.5,33.3,3095
100,7.232,30,1.5,33.3,3959
100,7.232,40,1.5,33.3,4263
100,7.232,20,2,33.3,3392.4
100,7.232,30,2,33.3,3300.2
100,7.232,40,2,33.3,4350
100,7.232,20,2.5,33.3,3628.8
100,7.232,30,2.5,33.3,3508.6
100,7.232,40,2.5,33.3,4100.4
100,7.232,20,3,33.3,2582.6
100,7.232,30,3,33.3,3691.8
100,7.232,40,3,33.3,3399
100,7.232,20,1.5,25,3635.4
100,7.232,30,1.5,25,4399.2
100,7.232,40,1.5,25,4299.4
100,7.232,20,2,25,4312.8
100,7.232,30,2,25,4345.8
100,7.232,40,2,25,3499.2
100,7.232,20,2.5,25,2929
100,7.232,30,2.5,25,4166
100,7.232,40,2.5,25,4158.4
100,7.232,20,3,25,4081.8
100,7.232,30,3,25,4833.2
100,7.232,40,3,25,4290.6
