Cement,Water,Coarse Aggregate,Fine Aggregate,Water absorption of aggregate,Recycled aggregate percentage,Age,Compressive strength
271,159.89,1099,861,1.52,0,28,38.9
281,179.84,970,802,4.66,100,28,38.6
293,169.94,919,648,6.15,100,28,38.1
337,165.13,879,841,7.81,100,28,39.3
487,180.19,1099,625,1.52,0,28,61.9
463,189.83,970,621,4.66,100,28,60.1
500,190,919,621,6.15,100,28,60.2
600,180,879,567,7.81,100,28,62.8
275,178.75,1122.59,918.49,7.24,0,28,31.92
275,181.5,1455.33,938.05,7.36,20,28,31.71
275,187,1026.29,962.73,7.59,50,28,32.35
275,187,935.21,1005.18,8.26,100,28,30.13
380,193.8,1163.37,781.43,6.26,0,28,44.81
380,193.8,1127.55,794.31,5.89,20,28,43.74
380,201.4,1077.42,811.37,6.67,50,28,37.45
380,212.8,997.97,838.29,8.55,100,28,40.54
400,208,903,662,9.6,100,7,30.7
400,208,903,662,9.6,100,28,34.5
400,208,903,662,9.6,100,90,37.5
400,208,956,662,9,60,7,30.6
400,208,956,662,9,60,28,35.8
400,208,956,662,9,60,90,38.3
400,208,995,662,8.6,30,7,34.8
400,208,995,662,8.6,30,28,37
400,208,995,662,8.6,30,90,39.5
400,208,1016,662,8.6,15,7,33.9
400,208,1016,662,8.6,15,28,38.1
400,208,1016,662,8.6,15,90,41.6
400,208,1014,662,8.4,0,7,33.3
400,208,1014,662,8.4,0,28,39
400,208,1014,662,8.4,0,90,42.1
349,177.99,792,888,1.1,0,28,43.9
335,170.85,1134,630,1.3,0,28,41.4
430,219.3,835,808,0.2,0,28,35.2
349,177.99,867,857,0.2,0,28,45.9
358,182.58,1094,645,4,0,28,44.8
424,216.24,900,763,5,0,28,34.1
358,179,1109.4,730.4,0.26,0,28,36.52
358,179,1082.9,730.4,0.89,30,28,33.59
358,179,1056.7,730.4,0.31,60,28,30.42
358,179,1020,730.4,2.96,100,28,29.1
446,191.78,985.4,695.6,1.5,0,7,42.2
446,191.78,974.1,695.6,2.42,20,7,42.7
446,196.24,957.1,695.6,3.8,50,7,42.5
446,200.7,928.6,695.6,6.1,100,7,45.6
446,191.78,985.4,695.6,1.5,0,28,51
446,191.78,974.1,695.6,2.42,20,28,48.8
446,196.24,957.1,695.6,3.8,50,28,51.3
446,200.7,928.6,695.6,6.1,100,28,51.2
446,191.78,985.4,695.6,1.5,0,56,53.4
446,191.78,974.1,695.6,2.42,20,56,53.5
446,196.24,957.1,695.6,3.8,50,56,51.7
446,200.7,928.6,695.6,6.1,100,56,54.4
446,191.78,985.4,695.6,1.5,0,7,42.9
446,191.78,974.1,695.6,2.42,20,7,39.5
446,196.24,957.1,695.6,3.8,50,7,41.6
446,200.7,928.6,695.6,6.1,100,7,41.8
446,191.78,985.4,695.6,1.5,0,28,51.7
446,191.78,974.1,695.6,2.42,20,28,50.6
446,196.24,957.1,695.6,3.8,50,28,50.3
446,200.7,928.6,695.6,6.1,100,28,49.2
446,191.78,985.4,695.6,1.5,0,56,50
446,191.78,974.1,695.6,2.42,20,56,50.9
446,196.24,957.1,695.6,3.8,50,56,52
446,200.7,928.6,695.6,6.1,100,56,49.1
446,191.78,985.4,695.6,1.5,0,7,44.5
446,191.78,974.1,695.6,2.42,20,7,43.2
446,196.24,957.1,695.6,3.8,50,7,42.1
446,200.7,928.6,695.6,6.1,100,7,42.9
446,191.78,985.4,695.6,1.5,0,28,48.8
446,191.78,974.1,695.6,2.42,20,28,48
446,196.24,957.1,695.6,3.8,50,28,47.7
446,200.7,928.6,695.6,6.1,100,28,47.2
446,191.78,985.4,695.6,1.5,0,56,49.3
446,191.78,974.1,695.6,2.42,20,56,48.4
446,196.24,957.1,695.6,3.8,50,56,52
446,200.7,928.6,695.6,6.1,100,56,51.4
446,191.78,985.4,695.6,1.5,0,7,44.6
446,191.78,974.1,695.6,2.42,20,7,43.9
446,196.24,957.1,695.6,3.8,50,7,44
446,200.7,928.6,695.6,6.1,100,7,43
446,191.78,985.4,695.6,1.5,0,28,50.5
446,191.78,974.1,695.6,2.42,20,28,50.1
446,196.24,957.1,695.6,3.8,50,28,48.8
446,200.7,928.6,695.6,6.1,100,28,50
446,191.78,985.4,695.6,1.5,0,56,53.7
446,191.78,974.1,695.6,2.42,20,56,52.6
446,196.24,957.1,695.6,3.8,50,56,51
446,200.7,928.6,695.6,6.1,100,56,2.1
