Cement content,Water content,CA content,Sand content,GP content,GP-particle size,Age,Compressive strength
295.00 ,132.75 ,620.00 ,502.00 ,0.00 ,0,28,28.40 
265.50 ,132.75 ,620.00 ,502.00 ,29.50 ,22,28,31.60 
250.75 ,132.75 ,620.00 ,502.00 ,44.25 ,22,28,34.20 
236.00 ,132.75 ,620.00 ,502.00 ,59.00 ,22,28,29.52 
221.25 ,132.75 ,620.00 ,502.00 ,73.75 ,22,28,25.32 
350.00 ,175.00 ,1200.00 ,720.00 ,0.00 ,0,7,31.00 
350.00 ,175.00 ,1200.00 ,720.00 ,0.00 ,0,7,32.70 
350.00 ,175.00 ,1200.00 ,720.00 ,0.00 ,0,7,30.90 
350.00 ,175.00 ,1200.00 ,720.00 ,0.00 ,0,28,39.10 
350.00 ,175.00 ,1200.00 ,720.00 ,0.00 ,0,28,40.80 
350.00 ,175.00 ,1200.00 ,720.00 ,0.00 ,0,28,41.10 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,32.20 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,33.40 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,34.10 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,41.80 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,40.90 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,42.30 
280.00 ,175.00 ,1200.00 ,720.00 ,70.00 ,35,7,30.20 
280.00 ,175.00 ,1200.00 ,720.00 ,70.00 ,35,7,30.10 
280.00 ,175.00 ,1200.00 ,720.00 ,70.00 ,35,7,29.70 
280.00 ,175.00 ,1200.00 ,720.00 ,70.00 ,35,28,37.60 
280.00 ,175.00 ,1200.00 ,720.00 ,70.00 ,35,28,37.30 
280.00 ,175.00 ,1200.00 ,720.00 ,70.00 ,35,28,38.10 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,33.40 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,32.70 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,33.10 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,40.80 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,41.50 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,42.80 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,33.10 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,32.70 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,7,33.20 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,42.10 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,41.20 
315.00 ,175.00 ,1200.00 ,720.00 ,35.00 ,35,28,41.60 
400.00 ,160.00 ,976.00 ,808.00 ,0.00 ,0,7,30.00 
380.00 ,160.00 ,976.00 ,808.00 ,20.00 ,20,7,36.00 
360.00 ,160.00 ,976.00 ,808.00 ,40.00 ,20,7,32.00 
380.00 ,160.00 ,976.00 ,808.00 ,20.00 ,20,7,46.00 
360.00 ,160.00 ,976.00 ,808.00 ,40.00 ,20,7,41.00 
400.00 ,160.00 ,976.00 ,808.00 ,0.00 ,0,28,42.00 
380.00 ,160.00 ,976.00 ,808.00 ,20.00 ,20,28,40.00 
360.00 ,160.00 ,976.00 ,808.00 ,40.00 ,20,28,36.00 
380.00 ,160.00 ,976.00 ,808.00 ,20.00 ,20,28,56.00 
360.00 ,160.00 ,976.00 ,808.00 ,40.00 ,20,28,51.00 
400.00 ,160.00 ,976.00 ,808.00 ,0.00 ,0,90,51.00 
380.00 ,160.00 ,976.00 ,808.00 ,20.00 ,20,90,51.00 
360.00 ,160.00 ,976.00 ,808.00 ,40.00 ,20,90,47.00 
380.00 ,160.00 ,976.00 ,808.00 ,20.00 ,20,90,60.00 
360.00 ,160.00 ,976.00 ,808.00 ,40.00 ,20,90,54.00 
477.00 ,167.00 ,999.00 ,673.00 ,0.00 ,0,7,28.80 
477.00 ,167.00 ,999.00 ,337.00 ,388.00 ,900,7,27.40 
477.00 ,167.00 ,999.00 ,0.00 ,777.00 ,900,7,24.60 
378.00 ,170.00 ,1008.00 ,738.00 ,0.00 ,0,7,22.60 
378.00 ,170.00 ,1008.00 ,369.00 ,426.00 ,900,7,21.90 
378.00 ,170.00 ,1008.00 ,0.00 ,851.00 ,900,7,17.60 
315.00 ,173.00 ,998.00 ,792.00 ,0.00 ,0,7,21.10 
315.00 ,173.00 ,998.00 ,396.00 ,457.00 ,900,7,17.90 
315.00 ,173.00 ,998.00 ,0.00 ,914.00 ,900,7,17.70 
477.00 ,167.00 ,999.00 ,673.00 ,0.00 ,0,28,31.90 
477.00 ,167.00 ,999.00 ,337.00 ,388.00 ,900,28,29.50 
477.00 ,167.00 ,999.00 ,0.00 ,777.00 ,900,28,27.10 
378.00 ,170.00 ,1008.00 ,738.00 ,0.00 ,0,28,26.70 
378.00 ,170.00 ,1008.00 ,369.00 ,426.00 ,900,28,23.50 
378.00 ,170.00 ,1008.00 ,0.00 ,851.00 ,900,28,19.70 
315.00 ,173.00 ,998.00 ,792.00 ,0.00 ,0,28,23.20 
315.00 ,173.00 ,998.00 ,396.00 ,457.00 ,900,28,21.60 
315.00 ,173.00 ,998.00 ,0.00 ,914.00 ,900,28,19.60 
477.00 ,167.00 ,999.00 ,673.00 ,0.00 ,0,91,33.40 
477.00 ,167.00 ,999.00 ,337.00 ,388.00 ,900,91,31.60 
477.00 ,167.00 ,999.00 ,0.00 ,777.00 ,900,91,27.10 
378.00 ,170.00 ,1008.00 ,738.00 ,0.00 ,0,91,28.20 
378.00 ,170.00 ,1008.00 ,369.00 ,426.00 ,900,91,26.90 
378.00 ,170.00 ,1008.00 ,0.00 ,851.00 ,900,91,20.00 
315.00 ,173.00 ,998.00 ,792.00 ,0.00 ,0,91,23.90 
315.00 ,173.00 ,998.00 ,396.00 ,457.00 ,900,91,22.20 
315.00 ,173.00 ,998.00 ,0.00 ,914.00 ,900,91,19.10 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,7,28.59 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,7,30.38 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,7,27.50 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,7,26.41 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,7,26.43 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,7,25.30 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,7,28.04 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,7,29.98 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,7,27.90 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,7,26.68 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,7,25.84 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,7,25.42 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,7,29.47 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,7,29.95 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,7,26.73 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,7,27.58 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,7,26.00 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,7,25.41 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,28,32.00 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,28,34.09 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,28,30.05 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,28,29.91 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,28,28.19 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,28,28.04 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,28,32.11 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,28,34.01 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,28,30.96 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,28,29.01 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,28,27.59 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,28,27.59 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,28,32.49 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,28,33.41 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,28,31.24 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,28,28.63 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,28,28.53 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,28,26.09 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,56,35.56 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,56,35.71 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,56,32.02 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,56,31.28 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,56,30.96 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,56,29.99 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,56,33.35 
