Cement content,Water content,CA content,Sand content,GP content,GP-particle size,Slump
295.00 ,132.75 ,620.00 ,502.00 ,0.00 ,0.00 ,47.00 
265.50 ,132.75 ,620.00 ,502.00 ,29.50 ,22.00 ,52.05 
250.75 ,132.75 ,620.00 ,502.00 ,44.25 ,22.00 ,55.07 
236.00 ,132.75 ,620.00 ,502.00 ,59.00 ,22.00 ,58.00 
221.25 ,132.75 ,620.00 ,502.00 ,73.75 ,22.00 ,61.02 
477.00 ,167.00 ,999.00 ,673.00 ,0.00 ,0.00 ,105.00 
477.00 ,167.00 ,999.00 ,337.00 ,388.00 ,900.00 ,205.00 
477.00 ,167.00 ,999.00 ,0.00 ,777.00 ,900.00 ,300.00 
378.00 ,170.00 ,1008.00 ,738.00 ,0.00 ,0.00 ,100.00 
378.00 ,170.00 ,1008.00 ,369.00 ,426.00 ,900.00 ,155.00 
378.00 ,170.00 ,1008.00 ,0.00 ,851.00 ,900.00 ,215.00 
315.00 ,173.00 ,998.00 ,792.00 ,0.00 ,0.00 ,130.00 
315.00 ,173.00 ,998.00 ,396.00 ,457.00 ,900.00 ,180.00 
315.00 ,173.00 ,998.00 ,0.00 ,914.00 ,900.00 ,190.00 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0.00 ,95.80 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23.00 ,110.28 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23.00 ,132.56 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23.00 ,147.04 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23.00 ,176.56 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23.00 ,202.18 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0.00 ,9.47 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23.00 ,16.71 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23.00 ,18.94 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23.00 ,69.62 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23.00 ,91.90 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23.00 ,117.52 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23.00 ,148.93 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23.00 ,135.23 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23.00 ,127.46 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23.00 ,112.84 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23.00 ,90.46 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23.00 ,71.27 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23.00 ,95.94 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23.00 ,81.32 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23.00 ,68.07 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23.00 ,58.93 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23.00 ,47.51 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23.00 ,29.70 
331.00 ,178.74 ,848.00 ,956.64 ,0.00 ,0.00 ,58.00 
314.50 ,178.74 ,848.00 ,953.01 ,16.55 ,105.00 ,63.00 
297.90 ,178.74 ,848.00 ,949.43 ,33.10 ,105.00 ,67.00 
314.50 ,178.74 ,848.00 ,952.97 ,16.55 ,10.00 ,69.00 
297.90 ,178.74 ,848.00 ,949.36 ,33.10 ,10.00 ,72.00 
490.00 ,200.90 ,776.31 ,838.67 ,0.00 ,0.00 ,70.00 
465.50 ,200.90 ,776.31 ,833.33 ,24.50 ,105.00 ,78.00 
441.00 ,200.90 ,776.31 ,828.00 ,49.00 ,105.00 ,85.00 
416.50 ,200.90 ,776.31 ,822.66 ,73.50 ,105.00 ,97.00 
465.50 ,200.90 ,776.31 ,833.28 ,24.50 ,10.00 ,85.00 
441.00 ,200.90 ,776.31 ,827.89 ,49.00 ,10.00 ,89.00 
416.50 ,200.90 ,776.31 ,822.51 ,73.50 ,10.00 ,105.00 
298.00 ,116.00 ,1059.00 ,835.00 ,33.00 ,13.00 ,190.00 
367.00 ,143.00 ,1050.00 ,687.00 ,41.00 ,13.00 ,200.00 
199.00 ,116.00 ,1060.00 ,815.00 ,133.00 ,13.00 ,250.00 
250.00 ,146.00 ,1074.00 ,678.00 ,167.00 ,13.00 ,220.00 
303.00 ,202.00 ,1074.00 ,624.00 ,34.00 ,13.00 ,180.00 
372.00 ,248.00 ,1065.00 ,423.00 ,41.00 ,13.00 ,240.00 
203.00 ,203.00 ,1081.00 ,608.00 ,135.00 ,13.00 ,200.00 
243.00 ,243.00 ,1045.00 ,391.00 ,162.00 ,13.00 ,240.00 
281.00 ,99.00 ,1069.00 ,873.00 ,94.00 ,13.00 ,230.00 
288.00 ,263.00 ,1096.00 ,438.00 ,96.00 ,13.00 ,220.00 
367.00 ,174.00 ,1046.00 ,643.00 ,0.00 ,0.00 ,215.00 
182.00 ,173.00 ,1039.00 ,602.00 ,182.00 ,13.00 ,185.00 
228.00 ,144.00 ,1056.00 ,773.00 ,76.00 ,13.00 ,190.00 
337.00 ,213.00 ,1088.00 ,503.00 ,112.00 ,13.00 ,210.00 
280.00 ,177.00 ,1066.00 ,637.00 ,93.00 ,13.00 ,200.00 
279.00 ,177.00 ,1060.00 ,631.00 ,93.00 ,13.00 ,210.00 
280.00 ,177.00 ,1063.00 ,632.00 ,93.00 ,13.00 ,210.00 
200.00 ,150.00 ,880.00 ,900.00 ,13.20 ,13.00 ,20.00 
200.00 ,150.00 ,880.00 ,900.00 ,76.80 ,13.00 ,10.00 
200.00 ,170.00 ,880.00 ,900.00 ,13.20 ,13.00 ,20.00 
200.00 ,170.00 ,880.00 ,900.00 ,76.80 ,13.00 ,50.00 
200.00 ,146.00 ,880.00 ,900.00 ,45.00 ,13.00 ,10.00 
200.00 ,174.00 ,880.00 ,900.00 ,45.00 ,13.00 ,70.00 
200.00 ,160.00 ,880.00 ,900.00 ,0.00 ,0.00 ,20.00 
200.00 ,160.00 ,880.00 ,900.00 ,90.00 ,13.00 ,30.00 
200.00 ,160.00 ,880.00 ,900.00 ,45.00 ,13.00 ,30.00 
200.00 ,160.00 ,880.00 ,900.00 ,45.00 ,13.00 ,30.00 
457.66 ,205.95 ,1199.74 ,550.06 ,0.00 ,0.00 ,97.00 
457.66 ,205.95 ,1199.74 ,495.05 ,55.01 ,85.00 ,95.00 
457.66 ,205.95 ,1199.74 ,440.05 ,110.01 ,85.00 ,72.00 
457.66 ,205.95 ,1199.74 ,385.04 ,165.02 ,85.00 ,65.00 
375.00 ,206.00 ,979.00 ,761.00 ,0.00 ,0.00 ,109.22 
337.50 ,206.00 ,979.00 ,761.00 ,37.50 ,30.00 ,99.06 
318.70 ,206.00 ,979.00 ,761.00 ,56.30 ,30.00 ,88.90 
300.00 ,206.00 ,979.00 ,761.00 ,75.00 ,30.00 ,76.20 
218.20 ,206.00 ,979.00 ,761.00 ,93.80 ,30.00 ,45.72 
262.50 ,206.00 ,979.00 ,761.00 ,112.50 ,30.00 ,40.64 
243.75 ,206.00 ,979.00 ,761.00 ,131.25 ,30.00 ,10.16 
425.00 ,180.00 ,1275.00 ,637.00 ,0.00 ,0.00 ,78.01 
382.50 ,180.00 ,1275.00 ,637.00 ,42.50 ,40.00 ,61.94 
340.00 ,180.00 ,1275.00 ,637.00 ,85.00 ,40.00 ,56.00 
297.50 ,180.00 ,1275.00 ,637.00 ,127.50 ,40.00 ,52.05 
350.00 ,140.00 ,1293.00 ,649.00 ,0.00 ,0.00 ,131.17 
333.00 ,133.20 ,1292.00 ,648.00 ,17.00 ,30.00 ,122.76 
315.00 ,126.00 ,1288.00 ,647.00 ,35.00 ,30.00 ,94.59 
297.00 ,118.80 ,1284.00 ,645.00 ,53.00 ,30.00 ,66.43 
280.00 ,112.00 ,1281.00 ,643.00 ,70.00 ,30.00 ,24.38 
378.00 ,185.00 ,1048.00 ,741.00 ,0.00 ,0.00 ,120.27 
378.00 ,185.00 ,1048.00 ,555.75 ,185.25 ,700.00 ,95.32 
378.00 ,185.00 ,1048.00 ,370.50 ,370.50 ,700.00 ,90.24 
