Cement content,Water content,CA content,Sand content,GP content,GP-particle size,Age,Total charge passed
298.00 ,116.00 ,1059.00 ,835.00 ,33.00 ,13.00 ,28.00 ,1941.00 
367.00 ,143.00 ,1050.00 ,687.00 ,41.00 ,13.00 ,28.00 ,2937.00 
199.00 ,116.00 ,1060.00 ,815.00 ,133.00 ,13.00 ,28.00 ,1746.00 
250.00 ,146.00 ,1074.00 ,678.00 ,167.00 ,13.00 ,28.00 ,1374.00 
303.00 ,202.00 ,1074.00 ,624.00 ,34.00 ,13.00 ,28.00 ,5323.00 
372.00 ,248.00 ,1065.00 ,423.00 ,41.00 ,13.00 ,28.00 ,7476.00 
203.00 ,203.00 ,1081.00 ,608.00 ,135.00 ,13.00 ,28.00 ,2785.00 
243.00 ,243.00 ,1045.00 ,391.00 ,162.00 ,13.00 ,28.00 ,2532.00 
288.00 ,263.00 ,1096.00 ,438.00 ,96.00 ,13.00 ,28.00 ,6406.00 
367.00 ,174.00 ,1046.00 ,643.00 ,0.00 ,0.00 ,28.00 ,4064.00 
182.00 ,173.00 ,1039.00 ,602.00 ,182.00 ,13.00 ,28.00 ,1895.00 
228.00 ,144.00 ,1056.00 ,773.00 ,76.00 ,13.00 ,28.00 ,2672.00 
337.00 ,213.00 ,1088.00 ,503.00 ,112.00 ,13.00 ,28.00 ,3483.00 
280.00 ,177.00 ,1066.00 ,637.00 ,93.00 ,13.00 ,28.00 ,3217.00 
279.00 ,177.00 ,1060.00 ,631.00 ,93.00 ,13.00 ,28.00 ,3258.00 
280.00 ,177.00 ,1063.00 ,632.00 ,93.00 ,13.00 ,28.00 ,3114.00 
298.00 ,116.00 ,1059.00 ,835.00 ,33.00 ,13.00 ,91.00 ,897.00 
367.00 ,143.00 ,1050.00 ,687.00 ,41.00 ,13.00 ,91.00 ,1220.00 
199.00 ,116.00 ,1060.00 ,815.00 ,133.00 ,13.00 ,91.00 ,595.00 
250.00 ,146.00 ,1074.00 ,678.00 ,167.00 ,13.00 ,91.00 ,458.00 
303.00 ,202.00 ,1074.00 ,624.00 ,34.00 ,13.00 ,91.00 ,2059.00 
372.00 ,248.00 ,1065.00 ,423.00 ,41.00 ,13.00 ,91.00 ,2107.00 
203.00 ,203.00 ,1081.00 ,608.00 ,135.00 ,13.00 ,91.00 ,792.00 
243.00 ,243.00 ,1045.00 ,391.00 ,162.00 ,13.00 ,91.00 ,949.00 
288.00 ,263.00 ,1096.00 ,438.00 ,96.00 ,13.00 ,91.00 ,1058.00 
367.00 ,174.00 ,1046.00 ,643.00 ,0.00 ,0.00 ,91.00 ,3362.00 
182.00 ,173.00 ,1039.00 ,602.00 ,182.00 ,13.00 ,91.00 ,523.00 
228.00 ,144.00 ,1056.00 ,773.00 ,76.00 ,13.00 ,91.00 ,695.00 
337.00 ,213.00 ,1088.00 ,503.00 ,112.00 ,13.00 ,91.00 ,779.00 
280.00 ,177.00 ,1066.00 ,637.00 ,93.00 ,13.00 ,91.00 ,891.00 
279.00 ,177.00 ,1060.00 ,631.00 ,93.00 ,13.00 ,91.00 ,879.00 
280.00 ,177.00 ,1063.00 ,632.00 ,93.00 ,13.00 ,91.00 ,761.00 
298.00 ,116.00 ,1059.00 ,835.00 ,33.00 ,13.00 ,180.00 ,500.00 
367.00 ,143.00 ,1050.00 ,687.00 ,41.00 ,13.00 ,180.00 ,690.00 
199.00 ,116.00 ,1060.00 ,815.00 ,133.00 ,13.00 ,180.00 ,408.00 
250.00 ,146.00 ,1074.00 ,678.00 ,167.00 ,13.00 ,180.00 ,332.00 
303.00 ,202.00 ,1074.00 ,624.00 ,34.00 ,13.00 ,180.00 ,1168.00 
372.00 ,248.00 ,1065.00 ,423.00 ,41.00 ,13.00 ,180.00 ,1706.00 
203.00 ,203.00 ,1081.00 ,608.00 ,135.00 ,13.00 ,180.00 ,644.00 
243.00 ,243.00 ,1045.00 ,391.00 ,162.00 ,13.00 ,180.00 ,756.00 
288.00 ,263.00 ,1096.00 ,438.00 ,96.00 ,13.00 ,180.00 ,636.00 
367.00 ,174.00 ,1046.00 ,643.00 ,0.00 ,0.00 ,180.00 ,2565.00 
182.00 ,173.00 ,1039.00 ,602.00 ,182.00 ,13.00 ,180.00 ,531.00 
228.00 ,144.00 ,1056.00 ,773.00 ,76.00 ,13.00 ,180.00 ,443.00 
337.00 ,213.00 ,1088.00 ,503.00 ,112.00 ,13.00 ,180.00 ,550.00 
280.00 ,177.00 ,1066.00 ,637.00 ,93.00 ,13.00 ,180.00 ,532.00 
279.00 ,177.00 ,1060.00 ,631.00 ,93.00 ,13.00 ,180.00 ,642.00 
280.00 ,177.00 ,1063.00 ,632.00 ,93.00 ,13.00 ,180.00 ,498.00 
298.00 ,116.00 ,1059.00 ,835.00 ,33.00 ,13.00 ,365.00 ,513.00 
367.00 ,143.00 ,1050.00 ,687.00 ,41.00 ,13.00 ,365.00 ,430.00 
199.00 ,116.00 ,1060.00 ,815.00 ,133.00 ,13.00 ,365.00 ,347.00 
250.00 ,146.00 ,1074.00 ,678.00 ,167.00 ,13.00 ,365.00 ,337.00 
303.00 ,202.00 ,1074.00 ,624.00 ,34.00 ,13.00 ,365.00 ,952.00 
372.00 ,248.00 ,1065.00 ,423.00 ,41.00 ,13.00 ,365.00 ,1212.00 
203.00 ,203.00 ,1081.00 ,608.00 ,135.00 ,13.00 ,365.00 ,509.00 
243.00 ,243.00 ,1045.00 ,391.00 ,162.00 ,13.00 ,365.00 ,696.00 
288.00 ,263.00 ,1096.00 ,438.00 ,96.00 ,13.00 ,365.00 ,609.00 
367.00 ,174.00 ,1046.00 ,643.00 ,0.00 ,0.00 ,365.00 ,2133.00 
182.00 ,173.00 ,1039.00 ,602.00 ,182.00 ,13.00 ,365.00 ,401.00 
228.00 ,144.00 ,1056.00 ,773.00 ,76.00 ,13.00 ,365.00 ,356.00 
337.00 ,213.00 ,1088.00 ,503.00 ,112.00 ,13.00 ,365.00 ,393.00 
280.00 ,177.00 ,1066.00 ,637.00 ,93.00 ,13.00 ,365.00 ,391.00 
279.00 ,177.00 ,1060.00 ,631.00 ,93.00 ,13.00 ,365.00 ,371.00 
280.00 ,177.00 ,1063.00 ,632.00 ,93.00 ,13.00 ,365.00 ,363.00 
312.00 ,141.00 ,1063.00 ,799.00 ,0.00 ,0.00 ,90.00 ,3037.85 
265.00 ,141.00 ,1063.00 ,799.00 ,47.00 ,25.00 ,90.00 ,2027.29 
250.00 ,141.00 ,1063.00 ,799.00 ,62.00 ,25.00 ,90.00 ,2150.53 
240.00 ,141.00 ,1063.00 ,799.00 ,72.00 ,25.00 ,90.00 ,2458.63 
312.00 ,141.00 ,1063.00 ,799.00 ,0.00 ,0.00 ,270.00 ,1867.08 
265.00 ,141.00 ,1063.00 ,799.00 ,47.00 ,25.00 ,270.00 ,1139.96 
250.00 ,141.00 ,1063.00 ,799.00 ,62.00 ,25.00 ,270.00 ,1022.89 
240.00 ,141.00 ,1063.00 ,799.00 ,72.00 ,25.00 ,270.00 ,1139.96 
320.00 ,160.00 ,1020.94 ,782.26 ,0.00 ,0.00 ,28.00 ,6109.09 
303.77 ,160.00 ,1020.94 ,782.26 ,16.23 ,8.40 ,28.00 ,5568.83 
287.55 ,160.00 ,1020.94 ,782.26 ,31.70 ,8.40 ,28.00 ,3948.05 
272.08 ,160.00 ,1020.94 ,782.26 ,47.92 ,8.40 ,28.00 ,2670.13 
255.85 ,160.00 ,1020.94 ,782.26 ,64.15 ,8.40 ,28.00 ,2119.48 
303.77 ,160.00 ,1020.94 ,782.26 ,16.23 ,8.40 ,28.00 ,6825.97 
287.55 ,160.00 ,1020.94 ,782.26 ,31.70 ,8.40 ,28.00 ,4654.55 
272.08 ,160.00 ,1020.94 ,782.26 ,47.92 ,8.40 ,28.00 ,3044.16 
255.85 ,160.00 ,1020.94 ,782.26 ,64.15 ,8.40 ,28.00 ,2514.29 
320.00 ,160.00 ,1020.94 ,782.26 ,0.00 ,0.00 ,91.00 ,4290.91 
303.77 ,160.00 ,1020.94 ,782.26 ,16.23 ,8.40 ,91.00 ,2909.09 
287.55 ,160.00 ,1020.94 ,782.26 ,31.70 ,8.40 ,91.00 ,1433.77 
272.08 ,160.00 ,1020.94 ,782.26 ,47.92 ,8.40 ,91.00 ,862.34 
255.85 ,160.00 ,1020.94 ,782.26 ,64.15 ,8.40 ,91.00 ,727.27 
303.77 ,160.00 ,1020.94 ,782.26 ,16.23 ,8.40 ,91.00 ,3802.60 
287.55 ,160.00 ,1020.94 ,782.26 ,31.70 ,8.40 ,91.00 ,1870.13 
272.08 ,160.00 ,1020.94 ,782.26 ,47.92 ,8.40 ,91.00 ,976.62 
255.85 ,160.00 ,1020.94 ,782.26 ,64.15 ,8.40 ,91.00 ,768.83 
