Lx_t,Vxy,Fx,Fy,psx*Fyx,psy*Fyy,fc,ln(Vu/fc)
62230,1.0,0.0,0.0,8.646,8.114,34.5,-1.459020902158891
62230,1.0,0.0,0.0,0.77,0.77,23.5,-3.00858041603184
62230,1.0,0.0,0.0,3.178,3.178,26.6,-2.1592336541885477
62230,1.0,0.0,0.0,2.565,2.565,26.6,-2.2196547136633127
62230,1.0,0.0,0.0,4.595,4.595,28.3,-1.8982985354053254
62230,1.0,0.0,0.0,4.761,4.761,29.8,-1.8793811605484998
62230,1.0,0.0,0.0,8.109,8.109,31.0,-1.5155950843237254
62230,1.0,0.0,0.0,12.104,12.104,29.8,-1.4968885335838265
62230,1.0,0.0,0.0,8.145,8.145,11.6,-1.1319194866858784
62230,1.0,0.0,0.0,4.94,2.76,14.5,-1.2953825547274296
62230,1.0,0.0,0.0,4.207,3.079,15.6,-1.4775103693915521
62230,1.0,0.0,0.0,8.395,1.211,16.0,-1.6315557176877193
62230,1.0,0.0,0.0,4.439,0.0,18.2,-2.2032868720117653
62230,1.0,0.0,0.0,8.145,8.145,20.4,-1.3592134025172198
62230,0.0,-1.0,0.0,1.887,1.887,21.7,-0.10178269430994223
62230,1.0,0.0,0.0,1.887,1.887,21.7,-2.3165064315126536
62230,0.0,-1.0,0.0,1.887,1.887,18.6,0.13554549199622376
62230,1.0,0.0,0.0,7.715,1.318,19.5,-1.8585569501515709
62230,1.0,0.0,0.0,8.198,2.123,19.0,-1.5707234002534098
62230,1.0,0.0,0.0,8.234,2.643,19.6,-1.5262604059551925
62230,1.0,0.0,0.0,8.198,3.926,19.5,-1.3549944814580532
62230,1.0,0.0,0.0,8.198,6.384,19.6,-1.1721709611650646
62230,1.0,-0.39,-0.39,9.272,9.272,20.5,-0.8377500898228745
62230,1.0,-0.83,-0.83,8.807,8.807,23.8,-1.0977723054183848
62230,1.0,-0.69,-0.69,8.341,8.341,19.2,-0.7444404749474959
62230,1.0,0.0,0.0,8.162,4.676,21.3,-1.3704579798569891
62230,1.0,0.0,0.0,7.912,7.912,20.5,-1.1719700732397622
62230,1.0,0.32,0.32,8.646,8.646,19.0,-1.1865810616140668
62230,1.0,-0.26,-0.26,7.894,2.884,21.7,-1.3074576267064086
62230,1.0,0.0,0.0,7.822,4.767,19.1,-1.3145826758699062
62230,1.0,0.0,0.0,18.271,1.877,65.7,-2.4324268449705566
62230,1.0,0.0,0.0,18.271,1.877,90.5,-2.649051860340254
62300,1.0,0.0,0.0,9.18,4.59,22.1,-1.3463777537144481
62300,1.0,0.0,0.0,9.18,4.59,25.6,-1.5144829093339178
351400,1.0,0.0,0.0,8.772,4.386,25.2,-1.5148494937581851
