A,L,t ,r,fy,fc,e,N
10000,500,3,0,284,39.6,0,724.1
10000,500,3,5,284,31.44,0,692.1
10000,500,3,15,284,20.16,0,523
10000,500,3.05,0,455,39.6,0,851.8
10000,500,3.05,5,455,31.44,0,805.7
10000,500,3.05,15,455,20.16,0,691
22500,500,3.05,0,284,39.6,0,1367.5
22500,500,3.05,5,284,31.44,0,1156.6
22500,500,3.05,15,284,20.16,0,824.4
48400,500,3.7,0,284,39.6,0,2520.5
48400,500,3.7,5,284,31.44,0,2261.6
48400,500,3.7,15,284,20.16,0,1690.8
48400,500,4.7,5,455,31.44,0,2969.4
48400,500,4.7,15,455,20.16,0,2393.3
7200,500,1.65,0,284,39.6,0,349.7
7200,500,1.65,5,284,31.44,0,349.1
7200,500,1.65,15,284,20.16,0,262.3
7200,500,2.75,0,367,39.6,0,553.6
7200,500,2.75,5,367,31.44,0,500.6
7200,500,2.75,15,367,20.16,0,484.5
12800,500,4.5,0,367,39.6,0,1221.5
12800,500,4.5,5,367,31.44,0,1133.8
12800,500,4.5,15,367,20.16,0,1054.1
20000,400,3.9,0,284,39.6,0,1425.1
20000,400,3.9,5,284,31.44,0,1263.6
20000,400,3.9,15,284,20.16,0,1157.2
10207.03,300,2.7,0,284,39.6,0,723.1
10207.03,300,2.7,5,284,31.44,0,597
10207.03,300,2.7,15,284,20.16,0,483.7
10207.03,300,3.2,0,367,39.6,0,930.7
10207.03,300,3.2,5,367,31.44,0,826.3
10207.03,300,3.2,15,367,20.16,0,686
18145.84,500,2.85,0,367,39.6,0,1313.7
18145.84,500,2.85,5,367,31.44,0,1107.8
18145.84,500,2.85,15,367,20.16,0,939.7
37668.48,500,3.85,0,284,39.6,0,2323.5
37668.48,500,3.85,5,284,31.44,0,2197.4
37668.48,500,3.85,15,284,20.16,0,1814.1
37668.48,500,4.25,0,455,39.6,0,2887.7
37668.48,500,4.25,5,455,31.44,0,2603.6
37668.48,500,4.25,15,455,20.16,0,2244.3
10207.03,300,4.8,20,333,36.8,0,1146
10207.03,1000,4.8,20,333,36.8,0,1046
5000,300,3.2,20,372,36.8,0,522
5000,1000,3.2,20,372,36.8,0,558
7921,1000,3.5,0,350,40.8,0,816
7921,1000,3.5,15,350,17.9,0,667
7921,1000,3.5,30,350,9.5,0,588
7921,1000,3.5,0,350,40.8,22.5,420
7921,1000,3.5,15,350,17.9,22.5,344
7921,1000,3.5,30,350,9.5,22.5,326
7921,1000,3.5,0,350,40.8,45,302
7921,1000,3.5,15,350,17.9,45,242
7921,1000,3.5,30,350,9.5,45,229
10000,1000,3,0,350,40.8,0,854
10000,1000,3,15,350,17.9,0,641
10000,1000,3,30,350,9.5,0,549
10000,1000,3,0,350,40.8,25,492
10000,1000,3,15,350,17.9,25,345
10000,1000,3,30,350,9.5,25,309
10000,1000,3,0,350,40.8,50,319
10000,1000,3,15,350,17.9,50,259
10000,1000,3,30,350,9.5,50,235
6221.14,1000,3.2,0,350,40.8,0,616
6221.14,1000,3.2,15,350,17.9,0,512
6221.14,1000,3.2,30,350,9.5,0,414
6221.14,1000,3.2,0,350,40.8,22,312
6221.14,1000,3.2,15,350,17.9,22,227
6221.14,1000,3.2,30,350,9.5,22,195
6221.14,1000,3.2,0,350,40.8,45,195
6221.14,1000,3.2,15,350,17.9,45,149
6221.14,1000,3.2,30,350,9.5,45,135
10207.03,1000,3.6,0,350,40.8,0,1001
10207.03,1000,3.6,15,350,17.9,0,854
10207.03,1000,3.6,30,350,9.5,0,667
10207.03,1000,3.6,0,350,40.8,29,472
10207.03,1000,3.6,15,350,17.9,29,385
10207.03,1000,3.6,30,350,9.5,29,323
10207.03,1000,3.6,0,350,40.8,57,293
10207.03,1000,3.6,15,350,17.9,57,266
10207.03,1000,3.6,30,350,9.5,57,226
18145.84,300,2.8,0,297,56.56,0,1944
18145.84,600,2.8,0,297,56.56,0,1929
18145.84,300,2.8,30,297,14.48,0,920
18145.84,600,2.8,30,297,14.48,0,866
18145.84,300,2.8,60,297,4.96,0,680
18145.84,600,2.8,60,297,4.96,0,551
18145.84,600,2.8,0,297,56.56,12,1330
18145.84,600,2.8,0,297,56.56,24,986
18145.84,600,2.8,0,297,56.56,53.5,592
18145.84,600,2.8,30,297,14.48,12,859
18145.84,600,2.8,30,297,14.48,23,679
18145.84,600,2.8,30,297,14.48,50.5,448
18145.84,600,2.8,60,297,4.96,12,525
18145.84,600,2.8,60,297,4.96,25,415
18145.84,600,2.8,60,297,4.96,53.5,307
17671.46,450,3.55,0,326,20.26,0,1303
17671.46,450,3.55,10,326,17.95,0,1276
17671.46,450,3.55,20,326,13.51,0,995
17671.46,450,3.55,30,326,13.31,0,976
17671.46,450,2.5,20,394,13.51,0,881
17671.46,450,4.5,20,326,13.51,0,1128
17671.46,450,3.55,0,326,25.46,0,1375
17671.46,450,3.55,10,326,22.82,0,1316
17671.46,450,3.55,20,326,17.35,0,1131
17671.46,450,3.55,30,326,16.17,0,1107
17671.46,450,2.5,20,394,17.35,0,928
17671.46,450,4.5,20,326,17.35,0,1213
22500,450,3.5,0,283,20.26,0,717.41
22500,450,3.5,10,283,17.95,0,686.23
22500,450,3.5,20,283,13.51,0,525
22500,450,3.5,30,283,13.31,0,509.55
22500,450,2.5,20,313,13.51,0,468.82
22500,450,4.5,20,273,13.51,0,648.6
22500,450,3.5,0,283,25.46,0,862.92
22500,450,3.5,10,283,22.82,0,776.97
22500,450,3.5,20,283,17.35,0,679.78
22500,450,3.5,30,283,16.17,0,656.46
22500,450,2.5,20,313,17.35,0,534.55
22500,450,4.5,20,273,17.35,0,755.06
