SiO2,Al2O3,Fe2O3,CaO,FA_m,FA_d,Coarse_m,Fine_m,Coarse_d,Fine_d,SS_m,SH_m,Sup_plas_m,Total_water_m,Init_curing_time,Init_curing_temp,Init_curing_rest_time,Final_curing_temp,CS28
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,48,120,0,108.432,1,60,0.981331305,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,0.166666667,30,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,0.166666667,60,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,0.166666667,90,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,1,30,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,1,60,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,1,90,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,48,120,0,79.632,1,60,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,88.2,2,30,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,88.2,0.166666667,60,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,88.2,0.166666667,90,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,88.2,1,30,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,88.2,1,60,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,88.2,1,90,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,1.120867799,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,1,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,2,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,3,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,4,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.877,1,60,1.11457316,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.877,1,60,1,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.877,1,60,2,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.877,1,60,3,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.877,1,60,4,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.877,1,60,5,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,1.120867799,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,1,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,2,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,3,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,4,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.857,1,60,5,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,2.535744179,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,1,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,2,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,3,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,4,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,5,24,36.77393813
53.36,26.49,10.86,1.34,408,2.208923611,1294,554,2.671952862,2.6303367,103,41,8.2,80.537,1,30,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.208923611,1294,554,2.671952862,2.6303367,103,41,8.2,80.537,1,45,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.208923611,1294,554,2.671952862,2.6303367,103,41,8.2,80.537,1,60,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.213740971,1294,554,2.655506836,2.623402742,103,41,8.2,80.537,1,75,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.208923611,1294,554,2.631206103,2.623147973,103,41,8.2,80.537,1,90,1.441638935,24,36.77393813
53.36,26.49,10.86,1.34,408,2.206759172,1294,554,2.664202632,2.618127434,103,41,8.2,91.237,1,30,1.268236915,24,36.77393813
